Round 77: test_acc=0.028091212707, bytes=108.93344000 MB, time=4103.65657290s, delta_acc/byte=-1.137707240197e-10, delta_acc/sec=-0.000003020096,acc/byte=2.578750171356e-10, acc/sec=0.000006845410, 
Round 78: test_acc=0.027708219639, bytes=110.34816000 MB, time=4151.39713460s, delta_acc/byte=-3.470769858009e-12, delta_acc/sec=-0.000000092256,acc/byte=2.510981573143e-10, acc/sec=0.000006674432, 
Round 79: test_acc=0.045225981949, bytes=111.76288000 MB, time=4183.33876170s, delta_acc/byte=1.567404339426e-10, delta_acc/sec=0.000004187507,acc/byte=4.046601335694e-10, acc/sec=0.000010810978, 
Round 80: test_acc=0.025111322729, bytes=113.17760000 MB, time=4215.46298170s, delta_acc/byte=-1.777265043611e-10, delta_acc/sec=-0.000004771637,acc/byte=2.218753775386e-10, acc/sec=0.000005956955, 
Round 81: test_acc=0.038462128658, bytes=114.59232000 MB, time=4270.29055040s, delta_acc/byte=1.165069869336e-10, delta_acc/sec=0.000003126440,acc/byte=3.356431622804e-10, acc/sec=0.000009006911, 
Round 82: test_acc=0.029419537112, bytes=116.00704000 MB, time=4305.68746710s, delta_acc/byte=-7.794864471786e-11, delta_acc/sec=-0.000002100150,acc/byte=2.536013082664e-10, acc/sec=0.000006832715, 
Round 83: test_acc=0.036885049175, bytes=117.42176000 MB, time=4402.82777020s, delta_acc/byte=6.357860811620e-11, delta_acc/sec=0.000001695618,acc/byte=3.141244789336e-10, acc/sec=0.000008377582, 
Round 84: test_acc=0.025072610341, bytes=118.83648000 MB, time=4451.35220770s, delta_acc/byte=-9.940078025248e-11, delta_acc/sec=-0.000002653674,acc/byte=2.109841215510e-10, acc/sec=0.000005632583, 
Round 85: test_acc=0.037047271817, bytes=120.25120000 MB, time=4481.68298090s, delta_acc/byte=9.958039068200e-11, delta_acc/sec=0.000002671912,acc/byte=3.080823460971e-10, acc/sec=0.000008266375, 
Round 86: test_acc=0.035786503460, bytes=121.66592000 MB, time=4545.57322570s, delta_acc/byte=-1.036254323917e-11, delta_acc/sec=-0.000000277362,acc/byte=2.941374499963e-10, acc/sec=0.000007872825, 
Round 87: test_acc=0.032362464070, bytes=123.08064000 MB, time=4589.23758850s, delta_acc/byte=-2.781947989495e-11, delta_acc/sec=-0.000000746102,acc/byte=2.629370798715e-10, acc/sec=0.000007051817, 
Round 88: test_acc=0.024523505615, bytes=124.49536000 MB, time=4617.92711670s, delta_acc/byte=-6.296586840867e-11, delta_acc/sec=-0.000001697506,acc/byte=1.969832901007e-10, acc/sec=0.000005310501, 
Round 89: test_acc=0.032855126057, bytes=125.91008000 MB, time=4711.75459760s, delta_acc/byte=6.617119488567e-11, delta_acc/sec=0.000001768263,acc/byte=2.609411895920e-10, acc/sec=0.000006973013, 
Round 90: test_acc=0.034048881931, bytes=127.32480000 MB, time=4740.67005900s, delta_acc/byte=9.375674451562e-12, delta_acc/sec=0.000000251812,acc/byte=2.674175174925e-10, acc/sec=0.000007182293, 
Round 91: test_acc=0.030481026433, bytes=128.73952000 MB, time=4769.35689980s, delta_acc/byte=-2.771375485804e-11, delta_acc/sec=-0.000000748079,acc/byte=2.367651085961e-10, acc/sec=0.000006391014, 
Round 92: test_acc=0.030494156918, bytes=130.15424000 MB, time=4798.68977660s, delta_acc/byte=1.008840292015e-13, delta_acc/sec=0.000000002736,acc/byte=2.342924588362e-10, acc/sec=0.000006354684, 
Round 93: test_acc=0.045660799844, bytes=131.56896000 MB, time=4894.48298730s, delta_acc/byte=1.152752360939e-10, delta_acc/sec=0.000003098722,acc/byte=3.470484211792e-10, acc/sec=0.000009329034, 
Round 94: test_acc=0.025364094563, bytes=132.98368000 MB, time=4948.47827720s, delta_acc/byte=-1.526255348127e-10, delta_acc/sec=-0.000004101605,acc/byte=1.907308818859e-10, acc/sec=0.000005125635, 
Round 95: test_acc=0.030239688437, bytes=134.39840000 MB, time=5039.07020760s, delta_acc/byte=3.627717200951e-11, delta_acc/sec=0.000000967558,acc/byte=2.250003604019e-10, acc/sec=0.000006001045, 
Round 96: test_acc=0.034224704923, bytes=135.81312000 MB, time=5084.68650440s, delta_acc/byte=2.934191104421e-11, delta_acc/sec=0.000000783729,acc/byte=2.519985176919e-10, acc/sec=0.000006730937, 
Round 97: test_acc=0.037117068544, bytes=137.22784000 MB, time=5158.74171480s, delta_acc/byte=2.107709063206e-11, delta_acc/sec=0.000000560672,acc/byte=2.704776854611e-10, acc/sec=0.000007194985, 
Round 98: test_acc=0.028979447624, bytes=138.64256000 MB, time=5206.48304070s, delta_acc/byte=-5.869497014708e-11, delta_acc/sec=-0.000001562978,acc/byte=2.090227389318e-10, acc/sec=0.000005566031, 
Round 99: test_acc=0.034352629958, bytes=140.05728000 MB, time=5261.19558400s, delta_acc/byte=3.836417738518e-11, delta_acc/sec=0.000001021285,acc/byte=2.452755755197e-10, acc/sec=0.000006529434, 
Round 100: test_acc=0.027076934269, bytes=141.47200000 MB, time=5289.13167380s, delta_acc/byte=-5.142852076045e-11, delta_acc/sec=-0.000001375594,acc/byte=1.913942990040e-10, acc/sec=0.000005119353, 
